                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4352,                 2.5364,                 1.5958,                0.31532,                0.54715,                0.31731,                0.16418,                 1.3858,                 2.8354,                  1.989,              0.0004727,              0.0004727,              0.0004727
                      2,                 1.3721,                 1.9832,                 1.5271,                0.33759,                0.51445,                0.31385,                0.15282,                  1.576,                 2.9972,                 2.1354,              0.0009412,              0.0009412,              0.0009412
                      3,                 1.4055,                 1.8867,                 1.5554,                0.24101,                0.50737,                0.29474,                0.13731,                 1.6339,                 2.4142,                 2.3026,              0.0014018,              0.0014018,              0.0014018
                      4,                 1.4062,                 1.8025,                 1.5521,                0.29027,                 0.4232,                0.26767,                 0.1031,                 1.9093,                  2.335,                 2.4116,              0.0013936,              0.0013936,              0.0013936
                      5,                 1.3873,                 1.7378,                 1.5434,                0.37243,                0.57595,                 0.3982,                0.22824,                 1.4902,                 1.9405,                 2.0156,              0.0013936,              0.0013936,              0.0013936
                      6,                 1.3695,                 1.6883,                 1.5185,                0.45206,                0.53351,                0.45162,                0.26868,                 1.3779,                 1.7927,                 1.9086,              0.0013818,              0.0013818,              0.0013818
                      7,                 1.3524,                 1.6097,                 1.5005,                0.47017,                0.53284,                0.45916,                0.26954,                 1.5051,                 1.9042,                 2.0717,              0.0013701,              0.0013701,              0.0013701
                      8,                 1.3362,                 1.5673,                 1.4931,                0.38743,                0.52017,                 0.3982,                 0.2394,                 1.4578,                 2.0084,                 1.9808,              0.0013583,              0.0013583,              0.0013583
                      9,                 1.3095,                 1.5395,                  1.482,                0.48488,                0.59185,                0.50056,                0.29957,                 1.3448,                 1.7362,                 1.9196,              0.0013465,              0.0013465,              0.0013465
                     10,                 1.3179,                  1.519,                 1.4791,                 0.2961,                0.56443,                0.35361,                0.21209,                 1.3788,                 1.9922,                 1.9083,              0.0013347,              0.0013347,              0.0013347
                     11,                  1.306,                 1.4841,                 1.4777,                0.49353,                 0.6058,                0.52865,                0.31937,                 1.3411,                 1.6054,                 1.8505,              0.0013229,              0.0013229,              0.0013229
                     12,                 1.2871,                 1.4581,                 1.4586,                0.53963,                0.55249,                0.54231,                0.32768,                 1.2905,                 1.6971,                 1.7976,              0.0013111,              0.0013111,              0.0013111
                     13,                 1.2787,                 1.4489,                 1.4456,                0.52786,                0.58655,                0.54524,                0.32009,                 1.3476,                 1.6316,                 1.8492,              0.0012993,              0.0012993,              0.0012993
