                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1182,                 1.0884,                 1.3389,                0.64206,                0.66808,                0.69148,                0.48159,                 1.1283,                 1.1806,                 1.6155,              0.0010517,              0.0010517,              0.0010517
                     35,                  1.093,                 1.1026,                 1.3346,                0.65422,                0.66269,                0.67833,                0.47991,                  1.111,                 1.1724,                  1.598,                0.00104,                0.00104,                0.00104
                     36,                  1.109,                  1.084,                 1.3349,                0.70851,                0.60702,                0.67267,                0.47454,                 1.1374,                 1.2205,                 1.6351,              0.0010282,              0.0010282,              0.0010282
                     37,                 1.1106,                  1.086,                 1.3496,                0.64638,                 0.6886,                0.70975,                0.49981,                 1.1482,                 1.1682,                 1.6139,              0.0010164,              0.0010164,              0.0010164
                     38,                 1.0951,                 1.0613,                 1.3336,                0.60696,                0.67796,                0.67924,                0.47934,                  1.158,                 1.2359,                 1.6311,              0.0010046,              0.0010046,              0.0010046
                     39,                 1.1026,                 1.0701,                 1.3356,                0.66735,                0.65292,                0.69998,                0.47181,                 1.1297,                 1.2395,                 1.6041,              0.0009928,              0.0009928,              0.0009928
                     40,                 1.0785,                 1.0475,                 1.3134,                0.69557,                0.66728,                 0.7215,                0.50948,                  1.126,                 1.1668,                 1.6158,             0.00098101,             0.00098101,             0.00098101
                     41,                 1.0973,                  1.053,                 1.3297,                0.63128,                0.68785,                0.66913,                 0.4712,                 1.1139,                 1.1881,                 1.5984,             0.00096922,             0.00096922,             0.00096922
                     42,                 1.0837,                 1.0225,                 1.3144,                0.64559,                0.71173,                0.68086,                0.47009,                 1.1459,                 1.1942,                 1.6565,             0.00095743,             0.00095743,             0.00095743
                     43,                 1.0827,                   1.05,                 1.3225,                0.66252,                0.69267,                0.69743,                0.49205,                 1.1137,                 1.1667,                 1.6118,             0.00094564,             0.00094564,             0.00094564
                     44,                 1.0662,                 1.0109,                  1.308,                0.68997,                0.64155,                0.71374,                0.49899,                 1.1563,                 1.1887,                 1.6375,             0.00093385,             0.00093385,             0.00093385
                     45,                 1.0489,                 1.0286,                 1.3069,                 0.6192,                0.68473,                0.66528,                0.45785,                 1.1509,                 1.2059,                 1.6189,             0.00092206,             0.00092206,             0.00092206
                     46,                 1.0585,                  1.006,                 1.3015,                0.59808,                0.65672,                0.64327,                0.45462,                 1.1022,                  1.254,                 1.5962,             0.00091027,             0.00091027,             0.00091027
                     47,                  1.047,                0.98651,                 1.3011,                0.68081,                 0.6667,                0.71748,                0.51236,                 1.1243,                 1.1131,                 1.6157,             0.00089848,             0.00089848,             0.00089848
                     48,                 1.0652,                0.99149,                 1.3038,                0.69003,                0.67483,                0.70615,                0.50178,                 1.0646,                 1.1267,                 1.5604,             0.00088669,             0.00088669,             0.00088669
                     49,                 1.0539,                0.96998,                 1.2893,                0.67424,                0.69194,                0.72961,                0.51991,                 1.1096,                 1.1181,                 1.6063,             0.00087491,             0.00087491,             0.00087491
